PaperIsWhite	EditorIsWhite	JRelative
False	True	0.44971432504990705
False	False	-0.3556825222000413
False	False	0.8950514052939962
True	False	-0.6209897189412008
False	True	-0.28935572301475143
False	True	0.2412586704675675
False	False	-0.18512789572358165
False	False	-0.05247429735300192
False	True	0.26020918452050745
False	True	-0.3462072651735713
False	True	0.20335764236168755
True	False	0.7339720358440065
False	True	0.2696844415469774
False	False	-0.29883098004122144
False	True	-0.4030588073323912
False	False	-0.12284022076942655
False	True	-0.3945268780532325
False	False	-0.36347697436365467
True	True	0.01688434583367364
True	True	-0.4488642095099937
True	True	0.24199614758311283
False	False	-0.05244863685039003
True	True	-0.19822576964263772
False	False	1.2868787706783855
False	True	-0.19822576964263772
True	True	-0.3440029024348854
True	True	0.13888384993943506
True	True	0.44866025712296137
False	False	-0.05244863685039003
False	False	-0.10711506164748291
False	False	-0.4002144279368969
False	False	-0.7546331750650942
False	True	-0.3320569765660897
False	True	0.11778220248123765
False	False	-0.6350601035688247
False	False	-0.6080275186479969
False	False	1.5140303976369858
False	True	-0.36473425436054663
True	False	-0.44583200912303
False	False	-0.2701202071376493
False	False	0.06778710437269826
True	True	-0.21605503729599368
False	False	-0.6350601035688247
True	False	-0.0890939477988763
False	False	-0.1491536875044449
True	False	-0.28929308015077165
False	False	1.2021904558708485
False	False	-0.5795818220610198
True	True	-0.30931299338596113
True	True	-0.2392432970627978
True	True	0.33132423014010387
True	True	-0.5695718654434251
False	True	-0.18919351397482398
False	True	-0.3493528198563402
False	True	0.6616527985207311
False	False	-0.7097112580897518
False	True	0.5915831021975677
True	False	-0.21922338382760825
False	False	-0.45946234264988267
True	True	-0.29408960073460594
True	True	0.6290239983047555
True	True	-0.5221529604972717
True	True	-0.29922143045658484
False	True	-0.5925705991026656
False	True	0.15709949854842967
True	True	-0.49478754288730536
False	True	-0.2861863846662261
False	False	-0.6166556510244547
True	True	-0.550561797752809
True	True	-0.5109054857898215
False	True	-0.31262392597488436
False	False	0.04798007148272508
False	False	-0.044822413749269006
False	False	0.01136450308900929
False	False	-0.3257569979406605
False	False	-0.705018686599039
False	False	-0.49431774845549536
False	False	4.25347672437902
False	False	-0.5505046652937736
False	False	0.4468131085856661
True	True	-0.901672895533013
False	False	-0.2555233518928126
False	True	-0.2133831642641039
