JournalName	Race	Year
Front. Microbiol.	API	2019
Front. Microbiol.	API	2020
Front. Microbiol.	API	2020
Front. Microbiol.	API	2020
Front. Microbiol.	API	2012
Front. Microbiol.	API	2015
Front. Microbiol.	API	2012
Front. Microbiol.	API	2018
Front. Microbiol.	API	2017
Front. Microbiol.	API	2013
Front. Microbiol.	API	2016
Front. Microbiol.	API	2015
Front. Microbiol.	API	2012
Front. Microbiol.	API	2018
Front. Microbiol.	API	2017
Front. Microbiol.	API	2013
Front. Microbiol.	API	2016
Front. Microbiol.	API	2015
Front. Microbiol.	API	2012
Front. Microbiol.	API	2012
Front. Microbiol.	API	2018
Front. Microbiol.	API	2017
Front. Microbiol.	API	2013
Front. Microbiol.	API	2016
Front. Microbiol.	API	2020
Front. Microbiol.	API	2016
Front. Microbiol.	API	2016
Front. Microbiol.	API	2016
Front. Microbiol.	API	2018
Front. Microbiol.	API	2019
Front. Microbiol.	White	2016
Front. Microbiol.	White	2017
Front. Microbiol.	White	2017
Front. Microbiol.	White	2018
Front. Microbiol.	White	2015
Front. Microbiol.	White	2020
Front. Microbiol.	White	2020
Front. Microbiol.	White	2020
Front. Microbiol.	API	2014
Front. Microbiol.	API	2014
Front. Microbiol.	API	2014
Front. Microbiol.	API	2014
Front. Microbiol.	API	2013
Front. Microbiol.	API	2013
Front. Microbiol.	API	2013
Front. Microbiol.	API	2013
Front. Microbiol.	API	2017
Front. Microbiol.	API	2017
Front. Microbiol.	API	2018
Front. Microbiol.	API	2016
Front. Microbiol.	API	2016
Front. Microbiol.	White	2018
Front. Microbiol.	White	2018
Front. Microbiol.	White	2018
Front. Microbiol.	White	2018
Front. Microbiol.	White	2018
Front. Microbiol.	White	2018
Front. Microbiol.	White	2018
Front. Microbiol.	White	2018
Front. Microbiol.	White	2018
Front. Microbiol.	White	2018
Front. Microbiol.	White	2018
Front. Microbiol.	White	2017
Front. Microbiol.	White	2017
Front. Microbiol.	White	2017
Front. Microbiol.	White	2017
Front. Microbiol.	White	2017
Front. Microbiol.	White	2017
Front. Microbiol.	White	2017
Front. Microbiol.	White	2015
Front. Microbiol.	White	2015
Front. Microbiol.	White	2015
Front. Microbiol.	White	2015
Front. Microbiol.	White	2015
Front. Microbiol.	White	2018
Front. Microbiol.	White	2016
Front. Microbiol.	White	2016
Front. Microbiol.	White	2016
Front. Microbiol.	White	2014
Front. Microbiol.	API	2014
Front. Microbiol.	API	2014
Front. Microbiol.	API	2016
Front. Microbiol.	API	2015
Front. Microbiol.	API	2015
Front. Microbiol.	API	2015
Front. Microbiol.	API	2017
Front. Microbiol.	API	2017
Front. Microbiol.	API	2017
Front. Microbiol.	API	2017
Front. Microbiol.	API	2016
Front. Microbiol.	API	2016
Front. Microbiol.	API	2016
Front. Microbiol.	API	2016
Front. Microbiol.	API	2016
Front. Microbiol.	API	2016
Front. Microbiol.	API	2015
Front. Microbiol.	API	2015
Front. Microbiol.	API	2015
Front. Microbiol.	API	2015
Front. Microbiol.	API	2015
Front. Microbiol.	API	2015
Front. Microbiol.	API	2015
Front. Microbiol.	API	2015
Front. Microbiol.	API	2015
